full_text,processed,predicted_label,predicted_probability_netral,predicted_probability_negatif,predicted_probability_positif
Padahal buat jam terbang dan latihan kan kalo ada liga dan klub ya timnas aja mainnya per berapa tahun dl ğŸ˜…,jam terbang latih liga klub timnas main,Netral,0.85009944,0.09841969,0.05148085
"@Tyows pdhal Pemain Timnas inggris nih gw rasa gada 1 pun Midfielder yg gaya mainnya kyak Mainoo,kenapa masih ga sat set buat manggil dia wkwk",main timnas inggris gue enggak ada midfielder gaya main kayak mainookenapa sat set manggil wkwk,Netral,0.42566127,0.2556535,0.31868526
@1708Lisna apakah mainnya brutal seperti timnas vietnam?,main brutal timnas vietnam,Netral,0.40914443,0.24031094,0.3505447
"@hari_coupetz @smpkcng @UpdateBolabola bener sih ğŸ˜… cuma kalo mau melebarkan konteksnya, timnas jg lanjutan kualifikasi pildun mainnya di bulan ini. malahan mepet sehari sama perkiraan hari pengumuman hasil akhir rekap KPU. itu sih yg juga jadi concern bang~",coupetz lebar konteks timnas kualifikasi pildun main mepet hasil rekap kpu concern bang,Netral,0.3785092,0.27091578,0.350575
"@CTsubasa_indo Di bagian ini kurang masuk akal, kiper legendaris tapi mainnya di timnas kelompok umur",indonesia masuk akal kiper legendaris main timnas kelompok umur,Netral,0.40500563,0.34907216,0.24592221
"@idextratime Mari berandai-andai timnas mainnya di Asian Cup kaya di eAsian Cup. Mungkin belum sekarang, semoga tahun yang akan datang mainnya sekeren ini.   https://t.co/9ZDKGG3dTM",mari berandaiandai timnas main asi cup kayak easian cup moga main keren,Netral,0.36167547,0.2776252,0.36069933
Edo abis balik dari timnas malah jadi tarkam gini mainnya wkwk,edo habis timnas tarkam main wkwk,Netral,0.48864946,0.32148695,0.18986355
@gilabola_ina Nggaklah. Kl mau ET bisa aja datengin sekelas Jose Mourinho (utk bikin Timnas jd tim yg mainnya pragmatis ala dia).  Sebaiknya jgn gantiÂ² pelatih.,ina nggaklah et datengin kelas jose mourinho timnas tim main pragmatis ala ganti latih,Netral,0.35042647,0.3481003,0.30147326
@PorosHalangID Persis dg gaya tiMnas di piala Asia kmrn mainnyağŸ‘ğŸ˜,persis gaya timnas piala asia kemarin main,Netral,0.46369332,0.21170047,0.32460618
"@iyehgitu @gilabola_ina â€œBerapa kali ganti pelatih dan gagal?â€ â€œProgressnya ada peningkatan.â€ â€œNgajarin cara passing.â€  Squad kemarin di piala asia dan sebelumnya di kualifikasi PD, itu banyak pemain keturunan. BANYAK. DAN GA ADA PELATIH TIMNAS LAIN YANG PUNYA PRIVILEGE ITU.  Tapi nyatanya mainnya sama.",ina kali ganti latih gagal progressnya tingkat ajar passing squad kemarin piala asia kualifikasi main turun latih timnas privilege nyata main,Netral,0.48173165,0.26250312,0.25576526
"@kegblgnunfaedh Klu STY out saya tidak akan nonton timnas lagi, pasti bakal kembali ke jaman purba lagi mainnya wkakakka",sty out tonton timnas jaman purba main wkakakka,Netral,0.38978848,0.26868147,0.34153008
@makanbolaID Jika STY out apakah masih ada yg mau nonton timnas lagi dengan modelan seperti dulu ke jaman purba mainnya wkakaka,sty out tonton timnas model jaman purba main wkakaka,Netral,0.4678389,0.2390756,0.29308546
Half-time: Arab Saudi 0-0 Korea Selatan  Lebih meyakinkan mainnya timnas Indonesia ga sih  #Blibli @bliblidotcom,halftime arab saudi korea selatan main timnas indonesia,Netral,0.4012715,0.3287585,0.26997
"@leohertanto @uhuyjoss @roomkost @idextratime @bolacomID Wkwkwk biarin aja bg itu padahal yg like 511, dia mau timnas indo mainnya long ball gajelas lagi",wkwkwk bang like timnas indonesia main long ball enggak jelas,Netral,0.38901633,0.23480864,0.37617502
@SiaranBolaLive COBA TIMNAS INDONESIA MAINNYA KAYAK GINI,coba timnas indonesia main kayak,Netral,0.43524513,0.2979662,0.2667887
"@ainurohman KL sy  STY  mungkin pergi. Kadang dibilang ngga pernah memberi trophy. Berapa bnyk sih timnas yg pny trophy  benua/asosiasi resmi FIFA? Se level Swedia , Belgia saja engga pernah juara Eropa. Apa mrk jelek mainnya?.",sty pergi kadang trophy timnas trophy benuaasosiasi resmi fifa level swedia belgia juara eropa jelek main,Netral,0.3570332,0.28794324,0.3550235
"@jokowi Dengan alasan menyambut lolosnya Timnas, main bola sambil hujan-hujanan....   Halaahhh , Pak.  yang lolos siapa....mainnya ama siapa ...ğŸ¤£ Cari dukungan kurasa.",alas sambut lolos timnas main bola hujanhujanan halaahhh lolos siapamainnya cari dukung,Netral,0.44555014,0.3287255,0.22572434
"@irvxan @bergasss Cek di tweet gw, timnas menang pun gw tetep kritik karena emg mainnya ga jelas.  Cuma longball dan inshallah bolanya beruntung bisa masuk ke gawang.  Karena emg selama ini kan strateginya STY cuma longball dan lemparan jarak jauh Arhan aja.",cek tweet gue timnas menang gue kritik main longball inshallah bola untung masuk gawang strategi sty longball lempar jarak arhan,Netral,0.50341517,0.21216315,0.2844217
@syariiifS Lawan timnas juga ngimbangin itu cara mainnya.  Lawak betol Barca skrg wkwkwk,lawan timnas ngimbangin main lawak betol barca wkwkwk,Netral,0.3595183,0.29695693,0.34352472
@lagilagibola Babak 1 pdhal timnas mainnya banyak nyerang ya...next game lbh baik,babak timnas main serang yanext game,Netral,0.37555665,0.32581645,0.2986269
"@MafiaWasit Psti bnyak yg kegocek  Tpi klo flashback make format edisi sblm'nya, timnas kita mentok di grup jg soalnya g make peringkat 3 terbaik ğŸ¤­ Tpi congrats buat timnas td, walaupun kalah mainnya bs ngasih perlawanan ke Australi""",gocek flashback pakai format edisi timnas mentok grup pakai peringkat congrats timnas kalah main asih lawan australi,Netral,0.46581024,0.3699307,0.16425909
"@tirta_cipeng piala asia kali ini selain timnas mainnya apik, cipeng dapat temen baru dari iraq gara gara eti abu lahab",cipeng piala asia kali timnas main apik cipeng teman iraq gara-gara gara-gara eti abu lahab,Netral,0.41306183,0.2133677,0.3735705
RAYA OUTFIT IDEASğŸ©¶ğŸ˜  melahirkan tidak dosa arhan asnawi mainnya besok senin nissan stadium piala dunia bakpia gamon australia struick enhypen cisauk timnas day lucas elkan bradley permainan bung towel rony parulian,raya outfit ideas lahir dosa arhan asnawi main besok senin nissan stadium piala dunia bakpia gamon australia struick enhypen cisauk timnas day lucas elkan bradley main towel rony parulian,Netral,0.4343516,0.2852311,0.28041732
"@The_RedsIndo Jersey yang dipake Liverpool vs Norwich, sama-sama pake baju merah-merah vs kuning-ijo, nah andaikan timnas Indonesia tadi vs australia mainnya sama kaya Liverpool begini, nah Indonesia itu Liverpool merah-merah, Australia itu Norwich pake baju kuning-ijo.. aaah andaikan beginiğŸ˜­",redsindo jersey pakai liverpool vs norwich samasama pakai baju merahmerah vs kuningijo andai timnas indonesia vs australia main kayak liverpool indonesia liverpool merahmerah australia norwich pakai baju kuningijo aaah andai,Netral,0.3972513,0.3083414,0.29440728
"@budibongg Kalah menang biasa uncle, tapi tadi mainnya timnas sungguh luar biasa, walaupun kalah tali saya tetep bangga sama Timnas IndonesiağŸ¥°",kalah menang uncle main timnas sungguh kalah tali bangga timnas indonesia,Netral,0.46896008,0.21000665,0.32103324
"Seumur-umur nonton timnas, gw rasa di #AsianCup2023 ini yang mainnya paling baik. Lawan raksasa Asia tapi tetap main terbuka, berani build-up dari bawah, nggak ngandelin long pass mulu.",seumurumur tonton timnas gue main lawan raksasa asia main buka berani buildup ngandelin long pas mulu,Netral,0.357398,0.29862785,0.34397417
"Meski Tersingkir dari Babak 16 Besar, Permainan Timnas Kontra Australia Banjir Sanjungan  https://t.co/pnzpxFOHl4 #TimnasDay #AsianCup2023 #Mainnya #Asnawi #Shayne #Struick #Elkan #STYSTAY",singkir babak main timnas kontra australia banjir sanjung,Netral,0.39334783,0.3427223,0.2639299
"Tadi nonton bentr dan mainnya udah ok sihh, terimakasih timnas",tonton bentr main ok terimakasih timnas,Netral,0.4681948,0.23919778,0.29260743
"@FandomID_ Aamiiiin!  Asli, babak pertama banyak momen yg bikin heran sendiri, ini bener timnas Indonesia mainnya gini?"" Amat sangat disayangkan decision making &amp  finishing perlu banyak improve. Tp kita sudah ada dijalur yg tepat utk terus berkembang. Dimulai dari perpanjang kontrak STY!!!""",aamiiiin asli babak momen heran timnas indonesia main sayang decision making finishing improve jalur kembang kontrak sty,Netral,0.38166335,0.27166483,0.34667182
"Terlepas dari skor akhir, timnas mainnya udah jauh berkembang. Gapernah liat sebelumnya berani main terbuka dan nguasain bola lawan tim sekelas Australia. #STYStay",lepas skor timnas main kembang enggak pernah lihat berani main buka nguasain bola lawan tim kelas australia,Netral,0.40453604,0.29096478,0.3044992
"Sepanjang kualifikasi dan uji coba, timnas belum pernah berhadapan dengan timnas yg benar2 mengandalkan wing play. Semua tim yg bermain umpan2 pendek. Maka ketika berhasapan dgn AUS yg mainnya ala klub2 Championship Inggris, kaget, jarang dilatih taktiknya #AFCAsianCup2023â€¦",kualifikasi uji coba timnas hadap timnas andal wing play tim main umpan pendek berhasapan aus main ala klub championship inggris kaget jarang latih taktik,Netral,0.47942743,0.25532958,0.26524296
"semoga timnas mainnya bisa laya tadi terus, proud of youuu!ğŸ¥º",moga timnas main laya proud of youuu,Netral,0.39835185,0.20768468,0.39396346
"timnas mainnya enakeun, gapapaa kalah buat experienced toh rataan usianya msh under 23",timnas main enakeun gapapaa kalah experienced usia under,Netral,0.46579084,0.19180705,0.34240207
"Babak kedua ga sebaik babak pertama mainnya timnas Garuda muda, keluarnya asnawi sedikit berpengaruh #TimnasDay #selamanyagaruda",babak babak main timnas garuda muda asnawi pengaruh,Netral,0.4276229,0.22661822,0.34575886
baru kali ini liat timnas mainnya kayak klub eropa,kali lihat timnas main kayak klub eropa,Netral,0.45505768,0.21982178,0.3251206
Tim garuda muda #AsianCup2023 ini harus jadi pondasi timnas Garuda masa depan sih mestinya. Mainnya sudah rapi tapi memang pemanfaatan peluangnya belum terlalu baik dan masih lengah di belakang. Masih perlu pengalaman dan jam terbang di level atas #selamanyagaruda #TimnasDay,tim garuda muda pondasi timnas garuda mesti main rapi manfaat peluang lengah alam jam terbang level,Netral,0.44374868,0.27900144,0.27724993
Mainnya udah capek bener Timnas Kita Tapi belum beruntung Semoga Babak Kedua bisa samain kedudukan Bisa yok #TimnasDay,main capek timnas untung moga babak samain duduk yuk,Netral,0.40320376,0.282066,0.31473026
@FandomID_ Cakepp mainnya squad timnas tinggal peluang dri allah ajh izinkan 1 gol ğŸ¤²ğŸ¼ kalo bisa ya lebihğŸ¤­,cakep main squad timnas tinggal peluang allah izin gol,Netral,0.47019088,0.26784906,0.26196006
Dulu nonton timnas lawan australia pas dilatih alm Bendol ampun-ampunan mainnya bikin istigfar terus kwkwkw sekarang beda bener anjir bisa ngelawan gini ğŸ¥¹,tonton timnas lawan australia pas latih almarhum bendol ampunampunan main istigfar kwkwkw beda anjir lawan,Netral,0.47423986,0.21242891,0.31333122
Timnas mainnya cakep gini cuma finishingnya yg ampas,timnas main cakep finishingnya ampas,Netral,0.4489879,0.2645495,0.2864626
@idextratime @bliblidotcom Nangis cok liat mainnya timnas ğŸ˜­ğŸ˜­,menang cok lihat main timnas,Netral,0.3796352,0.25911108,0.3612537
"Mainnya timnas cakep bener yaaa, SDM nya emang jauh beda sama sebelum2nya ğŸ¥ºğŸ‘ğŸ˜­",main timnas cakep sdm beda,Netral,0.3644461,0.27542588,0.3601281
Mau nangis timnas mainnya bangus pollllllğŸ¥¹â¤ï¸ğŸ¤,menang timnas main bangus pollllll,Netral,0.50470924,0.20393236,0.29135847
Ini kayanya era Timnas yg mainnya ga cuma pake otot,kaya era timnas main pakai otot,Netral,0.4069649,0.2719954,0.32103968
mainnya timnas gilee ğŸ˜ onfireee ğŸ”¥,main timnas gilee onfireee,Netral,0.41924274,0.2600666,0.3206907
Udah lama gak nonton timnas dan aslii mainnya baguus,tonton timnas asli main baguus,Netral,0.41650304,0.24710461,0.33639228
"@idextratime @bliblidotcom Bahkan komentator ga nyangka  australia yang klasemen pertama di grubnya, mainnya diobok-obok sama timnas",komentator sangka australia klasemen grubnya main diobokobok timnas,Netral,0.3834002,0.2977527,0.31884712
"TOLONG SEMUANYA MAINNYA YG BENER, jantungku ga kuat kalo kalian ngablu  leoniel menang, timnas menang, AAMIINNNNN https://t.co/0hxvpuJRnZ",tolong main jantung kuat ngablu leoniel menang timnas menang aamiinnnnn,Netral,0.49750978,0.2799783,0.22251187
"Sy kok punya keyakinan besar utk timnas nanti malem, harusnya mainnya nyantai ya tanpa beban",timnas malam main nyantai beban,Netral,0.45133996,0.32808322,0.22057687
@Goldmind_82 @persebayaupdate Mestine kan yo buanggaa yo ono pemain e sing iso kiprah nang timnas opo maneh dikelilingi pemain2 naturalisasi iki nando Lokal pret sing termasuk sukses tembus Tim utama di era STY. Tim media persebaya kurang jauh mainnya Dan gak greget sama sekali disaat org lagi demam AFC 2024,mestine buanggaa sono main sing iso kiprah nang timnas opo maneh keliling main naturalisasi iki nando lokal pret sing masuk sukses tembus tim utama era sty tim media baya main greget orang demam afc,Netral,0.38656288,0.27444574,0.3389913
"@rantkenz @garagarabola_ Bener juga sih yg ini Dulu tiap nonton timnas selalu berharap aja bisa menang tp yauda sekedar berharap dan doain yg terbaik. Tapi kita dalem hati tau, pasti timnas ya gitu ga mungkin menang dan mainnya monoton gitu2 aja..  Sejak sty, selalu yakin Indonesia bisa bikin kejutan wkw",tonton timnas harap menang yauda dar harap doain dalem hati timnas menang main monoton sty indonesia kejut wkw,Netral,0.48103878,0.22520907,0.29375222
lagi2 mainnya di hari yg sama 2 match terakhir : timnas menang barca menang timnas kalah barca kalah https://t.co/FCXNz6UHO1,main match timnas menang barca menang timnas kalah barca kalah,Netral,0.4700013,0.25094673,0.279052
"@cantguardfear @TahuTempeGoren2 @almumtaz_ @medioclubID Bedalah inter dengan timnas, inter era mou it emang trademarknya serangan balik kaya malaysia vs korsel tadi malam, atau Jepang vs irak, atau jordan vs korsel kalo timnas ya mainnya serangan balik gagal mulu, emang cma timnas kena covid, noh thailand baru ganti pelatih tp tokcer.",beda inter timnas inter era mou trademarknya serang kayak malaysia vs korsel malam jepang vs irak jordan vs korsel timnas main serang gagal mulu timnas kena covid noh thailand ganti latih tokcer,Netral,0.58910537,0.18913296,0.22176175
"@MamatAlkatiri Asal jangan seperti Piala Tiger dulu, baru masuk final, nurdin Kholid udah ngajak pemain timnas Safari politik.  Di final kalah lawan Thailand.  Walau mainnya di Qatar  tetap harus waspada, karena Situasi Skrg ada paslon yg lg panik, all in, semua cara dipakai.",piala tiger masuk final nurdin kholid ajak main timnas safari politik final kalah lawan thailand main qatar waspada situasi paslon panik all pakai,Netral,0.38442814,0.3630896,0.2524822
Bisa yuk bisa yuk TIMNAS INDONESIA melangkah jauh lagi. Bisa lah pake mode mainnya Kroasia wkwkwk,yuk yuk timnas indonesia lang pakai mode main kroasia wkwkwk,Netral,0.43475473,0.24550512,0.31974012
@zegori_ Semoga timnas indonesia bisa menang dan lancar mainnya di piala asia! Semangatt!!,moga timnas indonesia menang lancar main piala asia semangat,Netral,0.5668721,0.16945767,0.26367027
Ini timnas korea mainnya gimana ya ehe kok malah panik gitu padahal kelas dunia. Ini kalo kalah sama malay ya geger geden wkwkwk,timnas korea main ehe panik kelas dunia kalah malay geger geden wkwkwk,Netral,0.41332558,0.21951754,0.36715686
"@idextratime @bliblidotcom STY stay lah, timnas mainnya ada progress jg gr2 beliau.",sty stay timnas main progress gr beliau,Netral,0.44888613,0.23768254,0.31343138
"Nonton timnas dari piala asia 2007, bener2 ngikutin dari aff 2010. Baru kali ini ngeliat timnas mainnya ada progress gini. Bener2 gapapa kalah sama jepang",tonton timnas piala asia aff kali lihat timnas main progress gapapa kalah jepang,Netral,0.42542502,0.20674835,0.36782667
Ga jalan nih timnas mainnya...kena mental duluan,jalan timnas mainnyakena mental duluan,Netral,0.4980067,0.31660408,0.18538918
PLS TIMNAS MAINNYA YG KECEEE gapeduli lah menang pa kalah PLSğŸ˜­,pls timnas main kece gapeduli menang kalah pls,Netral,0.5637244,0.17826092,0.25801465
@strayyyy__ @Indostransfer Susah melihat india bisa nahan seri jika liat cara mainnya. Masih ada 2 kemungkinan timnas lolos. Semoga salah satunya kejadian. Atau keduanya kejadian,susah lihat india tahan seri lihat main timnas lolos moga salah,Netral,0.33822277,0.3360907,0.32568648
"@Indostransfer Yang Selasa malam tu Timnas Indonesia atau Timnas mana om? Ambigu kalimatnya.  Klo Timnas Indonesia, Rabu dia mainnya https://t.co/cdSnaXvsZG",selasa malam timnas indonesia timnas om ambigu kalimat timnas indonesia rabu main,Netral,0.6534196,0.1412338,0.20534664
"@saludosparatii @FaktaSepakbola Mumet... Dahlah. Doaku cuma: semoga timnas bisa lolos babak 16 besar kualifikasi asia kali ini dengan cara apapun. Ntah lawan/tim lain mainnya jelek, ntah Indonesia yg bisa main lebih baik dll wkwkwk",mumet dah doa moga timnas lolos babak kualifikasi asia kali lawantim main jelek indonesia main dll wkwkwk,Netral,0.4077884,0.35333475,0.23887682
"@winyxzv @almuzawar @yoomrwhitee @The_RedsIndo 1 lapangan lawan pemain2 dengan fisik edan kaya Tomiyasu, Kubo, Endo, Asano, dan Ritsu Doan aja udah ngeri bayanginnya. Semoga bisa lepas mainnya timnas.",redsindo lapang lawan main fisik edan kayak tomiyasu kubo endo asano ritsu doan ngeri bayanginnya moga lepas main timnas,Netral,0.37179992,0.34923685,0.27896324
@rdynavnsyh @rameankebulan @idextratime @PSSI Tapi mainnya timnas macam real Madrid bagaimana dong?,main timnas real madrid,Netral,0.42943192,0.28812844,0.28243965
"@indrawhan @noroomworldwide @idextratime Terkakhir juga lawan jordania. Kalo diliat secara permainan jordania lebih unggul. Bahrain gajelas juga mainnya. Tapi bola itu bundar sih, berdoa aja jordania menang diatas selisih 2 gol. Timnas kita kalopun kalah, kebobolan selisih 1 gol",terkakhir lawan jordania lihat main jordania unggul bahrain enggak jelas main bola bundar doa jordania menang selisih gol timnas kalah bobol selisih gol,Netral,0.39842647,0.27869052,0.322883
"@idextratime Apesss, kalo jepang menang tadi pasti mainnya gk akan all-out sih lawan timnas",apesss jepang menang main allout lawan timnas,Netral,0.4221213,0.24567965,0.332199
"Hokky wajar sih, masih muda, positioning dia bagus lho, cuma sayang shoot gak ada power, speed juga kurang, masih kurang pengalaman jadi masih bingung mainnya, apalagi ini event gede Jangan dibandingin sama Marselino, jam terbang dia di Timnas senior jauh lebih banyak",hokky wajar muda positioning bagus lho sayang shoot power speed alam bingung main event gede dibandingin marselino jam terbang timnas senior,Netral,0.36828095,0.27666882,0.35505024
"@idextratime @bliblidotcom Ingat kalau dukung timnas pakai teori pesimis dulu baru mereka bisa jago , kalau langsung optimis niscaya mereka mainnya bakal jelek",dukung timnas pakai teori pesimis jago langsung optimis niscaya main jelek,Netral,0.3822388,0.37099177,0.24676946
"@FaktaSepakbola Tolong jgn dipujiÂ² dulu kebiasaan timnas hbs dipujiÂ² mainnya nanti amburadul lagi,skg kita syukuri dan nikmatu dulu kemenangan ini",tolong puji timnas habis puji main amburadul lagiskg syukur nikmatu menang,Netral,0.4783353,0.266758,0.25490674
"Sandy Walsh mainnya apik, solid.  Beli jersey timnas kasih nameset blio menarik jg nih hehe cc @shabrina_tasya ğŸ™ğŸ¼",sandy walsh main apik solid beli jersey timnas kasih nameset blio tarik cc tasya,Netral,0.43158597,0.25751054,0.31090346
